CustomerID,Frequency,Monetary,Recency,Cluster,Segment
12547,2,207.79999999999998,198,1,Lost
12548,1,95.19999999999999,166,1,Lost
12550,1,964.83,79,0,At-Risk
12551,1,168.0,358,1,Lost
12552,2,437.82,39,0,At-Risk
12553,10,3692.28,8,0,At-Risk
12556,2,603.71,50,0,At-Risk
12557,5,11990.960000000001,16,0,At-Risk
12558,1,269.96,8,0,At-Risk
12559,2,561.71,311,1,Lost
12560,3,2134.01,5,0,At-Risk
12561,1,238.85,303,1,Lost
12562,7,3781.7400000000002,8,0,At-Risk
12564,1,456.9,261,1,Lost
12565,1,145.92,289,1,Lost
12566,1,351.65,86,0,At-Risk
12567,10,9401.28,23,0,At-Risk
12569,32,4124.69,2,3,Loyal
12571,2,519.61,40,0,At-Risk
12572,2,1020.42,9,0,At-Risk
12573,1,160.54000000000002,227,1,Lost
12574,1,218.45,316,1,Lost
12576,5,1315.83,36,0,At-Risk
12577,3,657.8,35,0,At-Risk
12578,2,2794.51,21,0,At-Risk
12579,1,440.42,78,0,At-Risk
12580,1,415.7,247,1,Lost
12581,1,197.71,40,0,At-Risk
12582,2,511.36,239,1,Lost
12583,15,7281.38,3,3,Loyal
12584,9,2338.15,4,0,At-Risk
12585,2,2040.1,234,1,Lost
12586,1,196.94000000000003,17,0,At-Risk
12587,1,144.0,8,0,At-Risk
12588,1,214.89999999999998,39,0,At-Risk
12589,2,646.68,29,0,At-Risk
12590,2,9864.26,211,1,Lost
12591,1,452.84999999999997,317,1,Lost
12592,2,437.6,92,0,At-Risk
12593,3,418.09999999999997,109,0,At-Risk
12594,10,3338.2200000000003,38,0,At-Risk
12596,2,618.27,51,0,At-Risk
12597,4,3811.22,19,0,At-Risk
12598,8,3023.08,10,0,At-Risk
12599,7,1032.58,29,0,At-Risk
12600,10,2599.04,29,0,At-Risk
12601,5,577.0600000000001,190,1,Lost
12602,1,153.12,59,0,At-Risk
12603,1,739.1999999999999,22,0,At-Risk
12604,2,254.18,79,0,At-Risk
12607,1,1579.51,60,0,At-Risk
12609,3,1126.85,78,0,At-Risk
12610,5,2099.54,23,0,At-Risk
12611,1,1193.32,52,0,At-Risk
12612,1,704.0400000000001,74,0,At-Risk
12613,5,3344.38,57,0,At-Risk
12614,1,315.6,278,1,Lost
12615,4,2291.19,2,0,At-Risk
12616,2,713.3,95,0,At-Risk
12617,1,355.53,29,0,At-Risk
12618,1,177.31,22,0,At-Risk
12619,9,3641.24,16,0,At-Risk
12620,3,1339.41,15,0,At-Risk
12621,20,13689.67,2,3,Loyal
12622,1,180.1,232,1,Lost
12623,1,305.1,276,1,Lost
12624,2,641.13,106,0,At-Risk
12625,2,2683.82,212,1,Lost
12626,9,6620.48,23,0,At-Risk
12627,7,4478.53,11,0,At-Risk
12628,3,786.46,4,0,At-Risk
12630,2,1270.88,10,0,At-Risk
12631,1,640.5,57,0,At-Risk
12633,4,2163.98,59,0,At-Risk
12635,2,1689.18,90,0,At-Risk
12637,8,6021.9,67,0,At-Risk
12638,1,671.69,33,0,At-Risk
12639,1,486.1,239,1,Lost
12640,3,1174.58,24,0,At-Risk
12641,1,185.9,115,0,At-Risk
12642,3,1013.26,25,0,At-Risk
12643,6,3344.64,128,0,At-Risk
12644,1,477.91,130,0,At-Risk
12645,4,1775.18,34,0,At-Risk
12646,2,1346.97,5,0,At-Risk
12647,12,3722.82,22,0,At-Risk
12648,1,318.05,155,1,Lost
12649,3,623.51,107,0,At-Risk
12650,1,314.44,3,0,At-Risk
12651,1,114.0,335,1,Lost
12652,1,919.98,331,1,Lost
12653,2,2209.85,149,1,Lost
12654,5,601.98,11,0,At-Risk
12656,5,4051.17,17,0,At-Risk
12657,4,1643.18,11,0,At-Risk
12658,1,686.05,19,0,At-Risk
12659,1,91.68,30,0,At-Risk
12660,1,245.1,11,0,At-Risk
12662,11,3849.78,1,0,At-Risk
12664,9,4881.88,8,0,At-Risk
12665,1,63.0,325,1,Lost
12667,1,620.13,58,0,At-Risk
12668,4,3807.15,12,0,At-Risk
12669,3,2744.0299999999997,151,1,Lost
12670,5,2996.05,10,0,At-Risk
12672,1,225.89999999999998,330,1,Lost
12673,2,610.52,5,0,At-Risk
12674,4,1970.6,39,0,At-Risk
12676,6,1331.39,25,0,At-Risk
12678,12,17628.46,42,3,Loyal
12679,4,1113.02,59,0,At-Risk
12680,4,880.81,1,0,At-Risk
12681,22,13787.54,15,3,Loyal
12682,31,12288.22,4,3,Loyal
12683,15,8476.57,4,3,Loyal
12684,7,2283.63,8,0,At-Risk
12685,6,2863.08,28,0,At-Risk
12686,1,89.14,372,1,Lost
12688,1,4873.8099999999995,114,0,At-Risk
12689,2,1247.61,26,0,At-Risk
12690,1,389.01,206,1,Lost
12691,6,1035.8,28,0,At-Risk
12693,4,855.91,127,0,At-Risk
12694,2,869.67,70,0,At-Risk
12695,4,582.1,7,0,At-Risk
12697,3,957.59,29,0,At-Risk
12700,4,4939.99,8,0,At-Risk
12701,2,797.71,80,0,At-Risk
12702,1,219.0,20,0,At-Risk
12703,1,283.55,71,0,At-Risk
12704,8,2340.84,7,0,At-Risk
12705,9,6868.29,15,0,At-Risk
12707,1,603.42,292,1,Lost
12708,10,2712.91,30,0,At-Risk
12709,15,9736.52,15,3,Loyal
12710,3,1149.02,97,0,At-Risk
12712,13,4396.13,29,0,At-Risk
12713,1,848.55,1,0,At-Risk
12714,5,4708.86,9,0,At-Risk
12715,1,353.86,106,0,At-Risk
12716,2,1053.49,4,0,At-Risk
12717,2,1030.98,151,1,Lost
12718,1,238.25,71,0,At-Risk
12719,2,644.95,5,0,At-Risk
12720,25,5781.73,3,3,Loyal
12721,6,2656.13,32,0,At-Risk
12722,4,997.63,85,0,At-Risk
12723,5,725.07,4,0,At-Risk
12724,4,1031.41,5,0,At-Risk
12725,1,427.8,371,1,Lost
12726,7,2609.1,28,0,At-Risk
12727,7,3980.7,11,0,At-Risk
12728,4,836.33,71,0,At-Risk
12729,1,453.01,114,0,At-Risk
12731,12,18895.91,24,3,Loyal
12732,1,236.26000000000002,180,1,Lost
12733,1,383.95,234,1,Lost
12734,1,110.39999999999999,353,1,Lost
12735,2,779.5699999999999,315,1,Lost
12736,1,234.0,333,1,Lost
12738,1,155.35,372,1,Lost
12739,2,1013.04,78,0,At-Risk
12740,1,427.6,64,0,At-Risk
12743,2,546.43,134,0,At-Risk
12744,7,21279.29,52,3,Loyal
12747,11,4196.01,2,0,At-Risk
12748,209,33719.73,1,2,Champions
12749,5,4090.88,4,0,At-Risk
12750,1,275.88,129,0,At-Risk
12752,1,4366.78,81,0,At-Risk
12753,6,21429.39,23,0,At-Risk
12754,3,3010.74,236,1,Lost
12755,2,3811.95,281,1,Lost
12756,1,112.07999999999998,87,0,At-Risk
12757,13,7857.1,16,3,Loyal
12758,2,2791.59,117,0,At-Risk
12759,3,1531.44,52,0,At-Risk
12762,2,1898.52,8,0,At-Risk
12763,2,494.08,138,0,At-Risk
12764,1,1693.88,317,1,Lost
12766,7,6989.63,4,0,At-Risk
12769,1,1143.6,239,1,Lost
12770,1,1351.45,211,1,Lost
12772,1,892.47,60,0,At-Risk
12775,5,1386.04,17,0,At-Risk
12778,6,822.23,20,0,At-Risk
12779,8,3981.36,38,0,At-Risk
12781,2,826.74,64,0,At-Risk
12782,5,2330.92,5,0,At-Risk
12783,6,2225.91,2,0,At-Risk
12784,2,574.42,9,0,At-Risk
12785,1,311.95,364,1,Lost
12787,3,463.66,10,0,At-Risk
12789,1,91.85,65,0,At-Risk
12790,1,324.92,192,1,Lost
12791,1,192.60000000000002,374,1,Lost
12792,1,400.53999999999996,257,1,Lost
12793,2,545.48,335,1,Lost
12794,2,860.41,53,0,At-Risk
12795,1,430.48,19,0,At-Risk
12797,1,254.03,366,1,Lost
12798,3,6977.04,10,0,At-Risk
12802,1,427.58,187,1,Lost
12808,3,483.65000000000003,37,0,At-Risk
12809,1,489.31,178,1,Lost
12811,3,514.85,261,1,Lost
12812,1,229.64000000000001,45,0,At-Risk
12814,1,125.92,102,0,At-Risk
12815,2,1063.46,148,1,Lost
12816,2,572.2,96,0,At-Risk
12817,1,166.04,281,1,Lost
12818,1,1542.08,262,1,Lost
12820,4,942.34,3,0,At-Risk
12821,1,92.72,214,1,Lost
12822,2,948.88,71,0,At-Risk
12823,5,1759.5,75,0,At-Risk
12824,1,397.12,60,0,At-Risk
12826,7,1474.72,3,0,At-Risk
12827,3,430.15000000000003,6,0,At-Risk
12828,6,1018.71,3,0,At-Risk
12829,2,293.0,337,1,Lost
12830,6,6814.64,38,0,At-Risk
12831,1,215.05,262,1,Lost
12832,2,383.03,32,0,At-Risk
12833,1,417.38,145,1,Lost
12834,1,312.38,283,1,Lost
12836,4,2612.86,59,0,At-Risk
12837,1,134.1,173,1,Lost
12838,2,683.13,34,0,At-Risk
12839,14,5591.42,3,3,Loyal
12840,4,2726.77,144,0,At-Risk
12841,25,4022.35,5,3,Loyal
12842,2,1118.99,70,0,At-Risk
12843,8,1702.26,66,0,At-Risk
12844,2,325.96000000000004,29,0,At-Risk
12845,4,354.09,267,1,Lost
12847,1,871.54,22,0,At-Risk
12849,2,1050.8899999999999,31,0,At-Risk
12851,1,135.18,97,0,At-Risk
12852,1,311.55,295,1,Lost
12853,6,1957.1000000000001,135,0,At-Risk
12854,3,1324.5,79,0,At-Risk
12855,1,38.1,373,1,Lost
12856,6,2179.93,8,0,At-Risk
12857,2,1106.4,211,1,Lost
12863,1,521.2,52,0,At-Risk
12864,1,147.12,138,0,At-Risk
12865,2,1568.23,26,0,At-Risk
12866,1,559.12,283,1,Lost
12867,7,4036.82,26,0,At-Risk
12868,6,1607.0600000000002,186,1,Lost
12871,2,380.64,84,0,At-Risk
12872,2,599.97,327,1,Lost
12873,1,374.0,282,1,Lost
12875,2,343.2300000000001,143,0,At-Risk
12876,2,2218.02,58,0,At-Risk
12877,12,1535.77,4,0,At-Risk
12878,2,854.99,236,1,Lost
12879,3,573.22,45,0,At-Risk
12881,1,298.0,276,1,Lost
12882,2,1463.04,9,0,At-Risk
12883,4,703.47,25,0,At-Risk
12884,1,309.05,88,0,At-Risk
12885,3,1175.22,63,0,At-Risk
12886,2,1378.4,68,0,At-Risk
12888,2,354.12,214,1,Lost
12890,1,380.46999999999997,24,0,At-Risk
12891,3,331.0,186,1,Lost
12893,1,188.14,31,0,At-Risk
12895,2,372.8,42,0,At-Risk
12897,2,216.5,205,1,Lost
12901,28,17654.54,9,3,Loyal
12902,1,138.68,265,1,Lost
12904,2,509.58,18,0,At-Risk
12906,5,2919.81,12,0,At-Risk
12908,2,750.0,176,1,Lost
12909,5,2178.67,40,0,At-Risk
12910,8,3075.04,23,0,At-Risk
12912,5,1662.3,3,0,At-Risk
12913,5,2483.63,5,0,At-Risk
12915,2,363.65,149,1,Lost
12916,4,3006.15,139,0,At-Risk
12917,1,594.0,128,0,At-Risk
12919,6,1335.19,8,0,At-Risk
12920,1,164.23,17,0,At-Risk
12921,37,16587.09,9,3,Loyal
12922,1,405.38,161,1,Lost
12923,1,176.97,64,0,At-Risk
12924,4,933.7,88,0,At-Risk
12925,2,694.05,5,0,At-Risk
12928,5,2062.7000000000003,35,0,At-Risk
12929,1,117.85,312,1,Lost
12930,2,415.8,78,0,At-Risk
12931,15,42055.96,22,3,Loyal
12933,3,607.53,24,0,At-Risk
12935,7,2160.7,2,0,At-Risk
12936,4,1063.9,17,0,At-Risk
12937,4,1504.27,15,0,At-Risk
12938,1,114.14,26,0,At-Risk
12939,8,11581.8,64,0,At-Risk
12940,2,913.54,55,0,At-Risk
12942,3,683.9,131,0,At-Risk
12944,2,604.51,36,0,At-Risk
12945,1,462.95,288,1,Lost
12947,6,1603.99,144,0,At-Risk
12948,7,2064.95,16,0,At-Risk
12949,8,4167.22,31,0,At-Risk
12950,3,1843.0,2,0,At-Risk
12951,6,1064.07,9,0,At-Risk
12952,4,1387.79,6,0,At-Risk
12953,1,329.85,10,0,At-Risk
12955,11,4757.16,1,0,At-Risk
12956,1,108.07,306,1,Lost
12957,8,4017.54,10,0,At-Risk
12962,2,266.39,7,0,At-Risk
12963,8,1856.63,8,0,At-Risk
12965,1,771.91,89,0,At-Risk
12966,1,160.18,10,0,At-Risk
12967,2,1660.9,358,1,Lost
12968,1,135.95,112,0,At-Risk
12970,4,452.24,7,0,At-Risk
12971,86,11189.91,4,3,Loyal
12974,1,144.8,198,1,Lost
12976,1,738.6,212,1,Lost
12977,1,39.239999999999995,156,1,Lost
12980,9,7374.900000000001,158,0,At-Risk
12981,2,372.21999999999997,30,0,At-Risk
12982,1,390.54,243,1,Lost
12984,1,97.5,19,0,At-Risk
12985,2,1239.38,1,0,At-Risk
12987,2,558.7,74,0,At-Risk
12988,1,535.32,292,1,Lost
12989,15,6924.110000000001,3,3,Loyal
12990,3,409.5,31,0,At-Risk
12991,2,503.76,23,0,At-Risk
12993,4,414.76,23,0,At-Risk
12994,3,974.4200000000001,4,0,At-Risk
12995,1,211.32,85,0,At-Risk
12997,4,1226.89,22,0,At-Risk
12999,3,455.88,196,1,Lost
13000,3,534.85,107,0,At-Risk
13001,13,9818.82,4,3,Loyal
13002,1,120.94999999999999,318,1,Lost
13003,3,149.05,106,0,At-Risk
13004,18,5655.91,12,3,Loyal
13005,2,513.7,174,1,Lost
13006,1,81.57,56,0,At-Risk
13008,1,229.46999999999997,323,1,Lost
13011,1,50.550000000000004,372,1,Lost
13012,8,1661.8400000000001,9,0,At-Risk
13013,13,4810.9400000000005,1,0,At-Risk
13014,10,3466.2799999999997,11,0,At-Risk
13015,5,3346.28,53,0,At-Risk
13016,3,789.89,73,0,At-Risk
13017,1,204.0,7,0,At-Risk
13018,28,7277.7,16,3,Loyal
13021,9,2616.38,4,0,At-Risk
13023,2,689.9,64,0,At-Risk
13026,5,975.36,1,0,At-Risk
13027,6,6912.0,114,0,At-Risk
13028,2,661.3199999999999,23,0,At-Risk
13029,3,1247.5,31,0,At-Risk
13030,2,799.48,11,0,At-Risk
13032,2,1010.18,52,0,At-Risk
13033,1,190.55,357,1,Lost
13034,2,642.77,55,0,At-Risk
13035,2,921.88,74,0,At-Risk
13037,3,881.07,138,0,At-Risk
13038,3,908.46,80,0,At-Risk
13040,2,676.99,9,0,At-Risk
13043,1,516.42,273,1,Lost
13044,1,560.47,291,1,Lost
13045,1,305.28000000000003,99,0,At-Risk
13046,2,629.31,31,0,At-Risk
13047,10,3237.54,32,0,At-Risk
13048,4,1835.91,14,0,At-Risk
13049,2,656.6800000000001,64,0,At-Risk
13050,17,5836.86,15,3,Loyal
13052,1,348.15000000000003,212,1,Lost
13055,3,1214.41,78,0,At-Risk
13058,3,271.40000000000003,25,0,At-Risk
13059,1,183.4,250,1,Lost
13060,1,307.53,254,1,Lost
13061,1,248.61,72,0,At-Risk
13062,1,346.98,191,1,Lost
13064,4,1119.49,13,0,At-Risk
13065,1,205.86,373,1,Lost
13066,2,470.8,24,0,At-Risk
13067,1,115.46000000000001,82,0,At-Risk
13068,2,344.0,10,0,At-Risk
13069,24,4436.12,1,3,Loyal
13070,1,228.8,192,1,Lost
13072,1,177.15,267,1,Lost
13075,1,919.61,130,0,At-Risk
13077,4,729.27,1,0,At-Risk
13078,26,12627.94,3,3,Loyal
13079,5,220.10000000000002,4,0,At-Risk
13080,1,58.08,179,1,Lost
13081,11,28337.38,12,3,Loyal
13082,9,3613.63,126,0,At-Risk
13083,2,303.75,4,0,At-Risk
13085,2,416.08000000000004,158,1,Lost
13089,97,58825.83,3,2,Champions
13090,14,8910.82,9,3,Loyal
13091,1,345.82,28,0,At-Risk
13092,5,477.83,71,0,At-Risk
13093,8,7832.47,276,1,Lost
13094,12,1927.3200000000002,21,0,At-Risk
13095,1,74.39999999999999,71,0,At-Risk
13097,10,6010.42,33,0,At-Risk
13098,28,28882.44,1,3,Loyal
13099,1,207.35999999999999,99,0,At-Risk
13101,1,101.19,234,1,Lost
13102,24,6424.09,1,3,Loyal
13103,1,243.94,40,0,At-Risk
13104,6,1098.48,3,0,At-Risk
13106,1,76.5,133,0,At-Risk
13107,4,1531.6200000000001,44,0,At-Risk
13108,1,350.06,373,1,Lost
13109,2,786.54,60,0,At-Risk
13110,7,1488.67,31,0,At-Risk
13113,24,12245.960000000001,1,3,Loyal
13115,4,2294.78,12,0,At-Risk
13116,1,501.14,138,0,At-Risk
13117,8,984.91,22,0,At-Risk
13118,5,1197.81,20,0,At-Risk
13120,1,30.599999999999998,239,1,Lost
13121,1,283.73,269,1,Lost
13122,2,922.39,94,0,At-Risk
13124,3,3866.33,90,0,At-Risk
13126,8,2099.64,5,0,At-Risk
13127,1,259.17,78,0,At-Risk
13130,1,64.0,94,0,At-Risk
13131,3,1073.3,23,0,At-Risk
13132,1,77.3,262,1,Lost
13133,2,109.8,274,1,Lost
13134,4,1793.58,86,0,At-Risk
13135,1,3096.0,197,1,Lost
13136,5,2607.61,56,0,At-Risk
13137,8,3650.41,11,0,At-Risk
13138,6,962.39,22,0,At-Risk
13139,7,5064.94,16,0,At-Risk
13140,3,423.72,108,0,At-Risk
13141,5,2388.75,85,0,At-Risk
13142,1,307.09,19,0,At-Risk
13144,1,110.95,333,1,Lost
13145,4,618.52,40,0,At-Risk
13146,1,228.91,26,0,At-Risk
13147,4,712.8000000000001,10,0,At-Risk
13148,12,3707.12,29,0,At-Risk
13149,4,1676.06,14,0,At-Risk
13151,1,1257.8700000000001,296,1,Lost
13153,1,486.22,6,0,At-Risk
13155,4,971.76,33,0,At-Risk
13157,4,1741.22,49,0,At-Risk
13158,4,1201.06,95,0,At-Risk
13159,4,1437.85,9,0,At-Risk
13160,1,91.8,22,0,At-Risk
13161,1,112.75,313,1,Lost
13162,4,1688.29,122,0,At-Risk
13165,2,1021.48,46,0,At-Risk
13166,1,417.2,283,1,Lost
13167,4,791.33,19,0,At-Risk
13168,4,1319.19,36,0,At-Risk
13169,2,712.88,64,0,At-Risk
13170,1,116.00999999999999,27,0,At-Risk
13171,3,468.41,22,0,At-Risk
13173,2,353.65,4,0,At-Risk
13174,3,2817.03,16,0,At-Risk
13176,1,492.84,46,0,At-Risk
13177,1,282.45,65,0,At-Risk
13178,11,5725.47,26,0,At-Risk
13182,1,121.18,45,0,At-Risk
13183,9,3957.78,8,0,At-Risk
13184,10,1701.29,15,0,At-Risk
13185,1,71.4,268,1,Lost
13186,3,1575.89,40,0,At-Risk
13187,1,236.02,337,1,Lost
13188,1,114.60000000000001,11,0,At-Risk
13189,2,260.68,19,0,At-Risk
13192,2,911.94,95,0,At-Risk
13193,1,117.88,61,0,At-Risk
13194,1,60.7,136,0,At-Risk
13196,4,1797.78,11,0,At-Risk
13198,6,3401.2400000000002,10,0,At-Risk
13199,38,9817.12,4,3,Loyal
13200,4,870.09,19,0,At-Risk
13203,4,869.46,10,0,At-Risk
13207,2,250.26000000000002,15,0,At-Risk
13208,6,1223.9,59,0,At-Risk
13209,8,5891.61,30,0,At-Risk
13210,1,353.48,94,0,At-Risk
13211,3,1197.42,10,0,At-Risk
13212,3,788.08,20,0,At-Risk
13213,5,1520.58,57,0,At-Risk
13216,1,333.74,268,1,Lost
13217,3,533.98,122,0,At-Risk
13218,1,62.63999999999999,127,0,At-Risk
13220,4,819.2900000000001,78,0,At-Risk
13221,2,847.41,240,1,Lost
13223,2,163.20000000000002,200,1,Lost
13224,2,2155.95,60,0,At-Risk
13225,7,6463.84,3,0,At-Risk
13226,1,108.21000000000001,273,1,Lost
13227,1,257.7,202,1,Lost
13228,1,358.0,81,0,At-Risk
13229,1,160.95,226,1,Lost
13230,14,2806.97,4,0,At-Risk
13232,7,1357.6,13,0,At-Risk
13233,2,605.12,74,0,At-Risk
13235,1,1031.07,212,1,Lost
13236,2,744.85,25,0,At-Risk
13238,4,700.73,17,0,At-Risk
13239,1,329.56,262,1,Lost
13240,4,663.65,96,0,At-Risk
13242,3,270.40000000000003,112,0,At-Risk
13243,1,600.07,203,1,Lost
13244,1,121.74000000000001,93,0,At-Risk
13245,1,430.5,51,0,At-Risk
13246,6,1987.3,18,0,At-Risk
13247,4,501.12,18,0,At-Risk
13248,2,465.68,125,0,At-Risk
13249,3,711.41,92,0,At-Risk
13253,2,1030.4,157,1,Lost
13255,2,399.51,9,0,At-Risk
13258,3,698.58,12,0,At-Risk
13259,1,292.32,62,0,At-Risk
13260,1,557.62,61,0,At-Risk
13261,2,944.1,269,1,Lost
13262,1,200.29,263,1,Lost
13263,35,7454.07,1,3,Loyal
13265,5,2107.66,53,0,At-Risk
13266,12,3834.2599999999998,11,0,At-Risk
13267,19,4521.49,3,3,Loyal
13268,11,3214.69,18,0,At-Risk
13269,15,5346.2300000000005,1,3,Loyal
13270,1,590.0,366,1,Lost
13271,1,217.38,37,0,At-Risk
13272,2,276.56,31,0,At-Risk
13273,1,138.98,113,0,At-Risk
13276,2,590.9300000000001,64,0,At-Risk
13277,4,258.4,16,0,At-Risk
13278,1,542.73,41,0,At-Risk
13279,1,137.75,78,0,At-Risk
13280,3,814.86,122,0,At-Risk
13282,3,1132.14,18,0,At-Risk
13283,2,93.66,60,0,At-Risk
13284,1,201.19,331,1,Lost
13285,4,2709.12,23,0,At-Risk
13291,1,361.11,156,1,Lost
13292,2,578.9399999999999,39,0,At-Risk
13294,2,873.74,190,1,Lost
13295,1,201.20000000000002,360,1,Lost
13296,1,87.4,137,0,At-Risk
13297,4,2089.85,8,0,At-Risk
13298,1,360.0,1,0,At-Risk
13299,1,142.5,268,1,Lost
