Description,avg_price,total_quantity,num_transactions,num_customers,total_revenue,Cluster,Segment
4 WILDFLOWER BOTANICAL CANDLES,1.9827586206896552,303,51,48,473.75,0,Budget
5 HOOK HANGER MAGIC TOADSTOOL,1.6277777777777775,631,27,23,964.3499999999999,0,Budget
5 HOOK HANGER RED MAGIC TOADSTOOL,1.6319819819819819,3055,108,71,4596.75,0,Budget
50'S CHRISTMAS GIFT BAG LARGE,1.2480733944954128,1885,109,106,2272.25,0,Budget
50'S CHRISTMAS PAPER GIFT BAG,0.8188764044943819,1327,88,85,1068.1399999999999,0,Budget
50CM METAL STRING WITH  7 CLIPS,0.8414999999999999,222,19,15,164.22,0,Budget
6 CHOCOLATE LOVE HEART T-LIGHTS,2.141794871794872,1018,110,70,1994.2600000000002,0,Budget
6 EGG HOUSE PAINTED WOOD,8.016440677966102,258,117,82,2058.94,0,Budget
6 GIFT TAGS 50'S CHRISTMAS,0.8295940959409593,3346,261,235,2753.4199999999996,1,Trending
6 GIFT TAGS VINTAGE CHRISTMAS,0.8295785440613026,3735,253,227,3076.2899999999995,1,Trending
6 RIBBONS ELEGANT CHRISTMAS,1.5195999999999998,1565,120,96,2019.2299999999998,0,Budget
6 RIBBONS EMPIRE,1.4310526315789474,1035,113,96,1304.37,0,Budget
6 RIBBONS RUSTIC CHARM,1.7783355525965379,8605,726,413,14988.589999999998,3,Niche
6 RIBBONS SHIMMERING PINKS,1.2164935064935065,1001,75,61,774.5899999999999,0,Budget
6 ROCKET BALLOONS,0.689877300613497,1768,156,116,1176.8000000000002,0,Budget
60 CAKE CASES DOLLY GIRL DESIGN,0.5628455284552846,7247,354,237,3755.4100000000003,1,Trending
60 CAKE CASES VINTAGE CHRISTMAS,0.5426464646464647,14735,466,342,7417.85,3,Niche
60 TEATIME FAIRY CAKE CASES,0.54821997105644,17689,657,414,8618.37,3,Niche
6PC WOOD PLATE SET DISPOSABLE,1.236875,405,16,15,443.25,0,Budget
70'S ALPHABET WALL ART,7.986,150,15,14,1043.1,0,Budget
72 SWEETHEART FAIRY CAKE CASES,0.5559322033898306,13070,501,325,6274.900000000001,3,Niche
75 BLACK PETIT FOUR CASES,0.42,57,17,16,23.94,0,Budget
75 GREEN FAIRY CAKE CASES,0.55,28,17,16,15.400000000000002,0,Budget
75 GREEN PETIT FOUR CASES,0.42,305,33,30,128.1,0,Budget
A PRETTY THANK YOU CARD,0.41777777777777775,438,26,26,179.64,0,Budget
ABC TREASURE BOOK BOX,2.2635449735449735,2090,186,159,4377.76,1,Trending
ABSTRACT CIRCLE JOURNAL,2.5344827586206895,108,28,24,259.2,0,Budget
ABSTRACT CIRCLES POCKET BOOK,0.85,161,41,35,136.85,0,Budget
ABSTRACT CIRCLES SKETCHBOOK,3.9295161290322578,128,60,45,491.13,0,Budget
"ACRYLIC HANGING JEWEL,BLUE",0.38,268,22,19,101.84,0,Budget
"ACRYLIC JEWEL ICICLE, PINK",0.38,264,17,15,100.32000000000001,0,Budget
ADULT APRON APPLE DELIGHT,5.787560975609756,180,40,32,896.88,0,Budget
ADVENT CALENDAR GINGHAM SACK,6.083333333333333,836,166,126,4787.68,1,Trending
AFGHAN SLIPPER SOCK PAIR,3.4236842105263157,511,19,16,1662.95,0,Budget
AGED GLASS SILVER T-LIGHT HOLDER,0.6395470383275261,10088,277,168,6083.200000000001,1,Trending
AIRLINE BAG VINTAGE JET SET BROWN,4.234848484848484,253,96,67,1056.05,0,Budget
AIRLINE BAG VINTAGE JET SET RED,4.262201257861635,448,156,108,1882.8400000000001,0,Budget
AIRLINE BAG VINTAGE JET SET WHITE,4.290470588235294,193,82,66,820.69,0,Budget
AIRLINE BAG VINTAGE TOKYO 78,4.364409448818898,830,247,144,3489.88,1,Trending
AIRLINE BAG VINTAGE WORLD CHAMPION,4.318118811881188,221,101,81,935.33,0,Budget
"AIRLINE LOUNGE,METAL SIGN",2.0572185430463574,497,149,86,1011.4100000000001,0,Budget
ALARM CLOCK BAKELIKE CHOCOLATE,3.801067073170732,1776,322,171,6574.26,1,Trending
ALARM CLOCK BAKELIKE GREEN,3.7910148514851483,5641,789,322,20880.4,3,Niche
ALARM CLOCK BAKELIKE IVORY,3.7554716981132072,2728,468,241,10285.61,1,Trending
ALARM CLOCK BAKELIKE ORANGE,3.7662942779291555,2182,359,179,7995.63,1,Trending
ALARM CLOCK BAKELIKE PINK,3.7871497584541065,5074,613,291,18569.09,3,Niche
ALPHABET HEARTS STICKER SHEET,0.85,371,38,29,315.34999999999997,0,Budget
ALPHABET STENCIL CRAFT,1.2601764705882352,2673,165,120,3005.44,1,Trending
ALUMINIUM STAMPED HEART,2.4770866141732286,775,124,100,1862.5100000000002,0,Budget
AMETHYST CHUNKY BEAD BRACELET W STR,8.95,21,11,11,187.95,0,Budget
ANGEL DECORATION 3 BUTTONS,0.4194915254237288,3532,111,87,1457.52,0,Budget
ANGEL DECORATION PAINTED ZINC,0.6870370370370371,635,26,24,383.95000000000005,0,Budget
ANGEL DECORATION STARS ON DRESS,0.41870967741935483,2459,86,61,1012.62,0,Budget
ANGEL DECORATION WITH LACE PADDED,0.85,212,11,11,180.2,0,Budget
ANIMAL STICKERS,0.21,1773,46,38,372.33,0,Budget
ANIMALS AND NATURE WALL ART,3.6958823529411764,267,17,16,923.97,0,Budget
ANT COPPER LIME BOUDICCA BRACELET,4.95,45,15,13,222.75,0,Budget
ANT COPPER TURQ BOUDICCA BRACELET,4.95,45,12,10,222.75,0,Budget
ANT SILVER LIME GREEN BOUDICCA RING,2.95,27,10,7,79.65,0,Budget
ANT WHITE WIRE HEART SPIRAL,4.028125,286,64,52,1076.66,0,Budget
ANTIQUE ALL GLASS CANDLESTICK,2.085180722891566,567,80,66,1133.3000000000002,0,Budget
ANTIQUE CREAM CUTLERY CUPBOARD,12.75,14,13,12,178.5,0,Budget
ANTIQUE CREAM CUTLERY SHELF,8.5,28,18,17,238.0,0,Budget
ANTIQUE GLASS DRESSING TABLE POT,2.976031746031746,1643,188,126,4687.01,1,Trending
ANTIQUE GLASS HEART DECORATION,1.95,296,26,26,577.1999999999999,0,Budget
ANTIQUE GLASS PEDESTAL BOWL,3.7644242424242425,890,159,123,3223.35,1,Trending
ANTIQUE HEART SHELF UNIT,16.44705882352941,267,68,64,3879.15,0,Budget
ANTIQUE IVORY WIRE BOWL SMALL,2.49,97,19,17,241.53000000000003,0,Budget
ANTIQUE SILVER BAUBLE LAMP,10.081481481481482,374,72,64,3489.7000000000003,0,Budget
ANTIQUE SILVER T-LIGHT GLASS,1.2428280961182994,12973,534,348,15206.42,3,Niche
ANTIQUE SILVER TEA GLASS ENGRAVED,1.2458219178082193,8273,278,177,9339.34,1,Trending
ANTIQUE SILVER TEA GLASS ETCHED,1.2230405405405405,3500,143,117,4033.0,1,Trending
ANTIQUE TALL SWIRLGLASS TRINKET POT,3.795611510791367,765,138,109,2817.13,0,Budget
APOTHECARY MEASURING JAR,12.178571428571429,64,21,20,751.4000000000001,0,Budget
APPLE BATH SPONGE,1.326825396825397,1102,122,83,1400.49,0,Budget
APRON APPLE DELIGHT,4.938888888888889,268,62,52,1291.6000000000001,0,Budget
APRON MODERN VINTAGE COTTON,2.2948275862068965,443,57,52,931.8499999999999,0,Budget
AREA PATROLLED METAL SIGN,2.1090476190476193,4290,374,176,8552.220000000001,1,Trending
"ART LIGHTS,FUNK MONKEY",2.85,355,47,26,950.45,0,Budget
ASS COLOUR GLOWING TIARAS,0.841923076923077,280,24,24,212.79999999999998,0,Budget
ASS DES PHONE SPONGE CRAFT STICKER,0.4855555555555556,511,14,12,154.39,0,Budget
ASS FLORAL PRINT MULTI SCREWDRIVER,0.5028571428571429,2754,161,123,1261.69,1,Trending
ASS FLORAL PRINT SPIRIT LEVEL,1.1444444444444446,96,32,30,92.08,0,Budget
ASSORTED BOTTLE TOP  MAGNETS,0.39932835820895524,2928,133,110,1104.36,0,Budget
ASSORTED CIRCULAR MOBILE,0.20739130434782607,645,19,17,121.04999999999998,0,Budget
ASSORTED COLOUR LIZARD SUCTION HOOK,0.41619047619047617,975,54,16,385.02,0,Budget
ASSORTED COLOUR METAL CAT,1.25,115,25,19,143.75,0,Budget
ASSORTED COLOUR MINI CASES,7.790978260869565,1719,365,239,12123.41,1,Trending
ASSORTED COLOUR SUCTION CUP HOOK,0.19,202,13,11,38.38,0,Budget
ASSORTED COLOUR T-LIGHT HOLDER,0.6760674157303371,3361,87,66,1990.97,0,Budget
ASSORTED COLOURS SILK FAN,0.8050153846153846,21876,324,194,16044.44,3,Niche
ASSORTED CREEPY CRAWLIES,0.43782608695652175,2599,88,63,1093.63,0,Budget
ASSORTED EASTER DECORATIONS  BELLS,1.2413636363636362,564,22,21,650.28,0,Budget
ASSORTED EASTER GIFT TAGS,0.8457377049180327,1156,58,56,945.16,0,Budget
"ASSORTED FLOWER COLOUR ""LEIS""",0.61873786407767,10297,103,72,4871.45,1,Trending
ASSORTED INCENSE PACK,0.20259259259259257,4032,27,16,760.3199999999999,0,Budget
ASSORTED LAQUERED INCENSE HOLDERS,0.20076923076923076,2516,13,12,443.76000000000005,0,Budget
ASSORTED MINI MADRAS NOTEBOOK,0.5769565217391304,948,23,22,462.6,0,Budget
ASSORTED MONKEY SUCTION CUP HOOK,0.41672727272727267,555,42,16,220.14000000000001,0,Budget
ASSORTED SHAPES PHOTO CLIP SILVER,0.6364705882352941,359,11,10,167.10999999999999,0,Budget
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,0.8475471698113208,541,46,38,447.36999999999995,0,Budget
ASSORTED TUTTI FRUTTI BRACELET,0.24411764705882355,2197,61,48,440.89000000000004,0,Budget
ASSORTED TUTTI FRUTTI HEART BOX,1.25,215,32,29,268.75,0,Budget
ASSORTED TUTTI FRUTTI KEYRING BALL,0.4791304347826087,1102,23,19,367.97999999999996,0,Budget
ASSORTED TUTTI FRUTTI LARGE PURSE,2.1,117,24,21,245.70000000000002,0,Budget
ASSORTED TUTTI FRUTTI MIRROR,1.2377419354838708,490,31,27,594.26,0,Budget
ASSORTED TUTTI FRUTTI NOTEBOOK,2.1,235,31,25,493.50000000000006,0,Budget
ASSORTED TUTTI FRUTTI PEN,0.3743010752688172,2452,90,79,801.2399999999999,0,Budget
ASSORTED TUTTI FRUTTI SMALL PURSE,1.2384848484848483,654,31,26,790.14,0,Budget
ASSTD DESIGN 3D PAPER STICKERS,0.5745714285714285,1162,30,28,389.38,0,Budget
ASSTD DESIGN RACING CAR PEN,1.851875,1252,62,44,1953.0,0,Budget
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,0.2770967741935484,2244,62,57,545.1600000000001,0,Budget
ASSTD MULTICOLOUR CIRCLES MUG,0.4189583333333333,1375,45,36,548.37,0,Budget
BABUSHKA LIGHTS STRING OF 10,6.758103448275863,467,116,82,3032.39,0,Budget
BABY BOOM RIBBONS,1.25,374,85,70,467.5,0,Budget
BABY MOUSE RED GINGHAM DRESS,4.25,73,20,19,310.25,0,Budget
BAG 125G SWIRLY MARBLES,0.4274898785425101,9272,243,175,3431.35,1,Trending
BAG 250G SWIRLY MARBLES,0.8637878787878788,5004,197,137,3856.3799999999997,1,Trending
BAG 500G SWIRLY MARBLES,1.5144642857142858,1377,110,89,1299.2099999999998,0,Budget
BAKING MOULD CHOCOLATE CUPCAKES,2.6133333333333333,917,133,119,2363.99,0,Budget
BAKING MOULD EASTER EGG MILK CHOC,2.922826086956522,876,91,82,2272.2000000000003,0,Budget
BAKING MOULD EASTER EGG WHITE CHOC,2.9152173913043478,560,69,65,1527.2,0,Budget
BAKING MOULD HEART MILK CHOCOLATE,2.5654421768707483,1041,145,120,2515.67,0,Budget
BAKING MOULD HEART WHITE CHOCOLATE,2.55141592920354,794,110,95,1878.61,0,Budget
BAKING MOULD ROSE MILK CHOCOLATE,3.1634615384615383,673,52,46,1964.25,0,Budget
BAKING MOULD ROSE WHITE CHOCOLATE,3.3037142857142854,258,33,30,766.88,0,Budget
BAKING MOULD TOFFEE CUP CHOCOLATE,2.5,866,63,50,1935.6000000000001,0,Budget
BAKING SET 9 PIECE RETROSPOT,4.988742791234141,4797,854,581,23007.55,3,Niche
BAKING SET SPACEBOY DESIGN,5.038665105386418,2153,424,296,10210.890000000001,1,Trending
BALLOON ART MAKE YOUR OWN FLOWERS,1.5072972972972971,900,68,66,825.24,0,Budget
BALLOON PUMP WITH 10 BALLOONS,1.9687931034482757,779,112,94,1521.23,0,Budget
BALLOON WATER BOMB PACK OF 35,0.4175342465753425,5897,138,100,2254.14,1,Trending
BALLOONS  WRITING SET,1.6838144329896905,760,187,135,1262.1999999999998,1,Trending
BANK ACCOUNT  GREETING  CARD,0.41647058823529415,265,17,16,106.97999999999999,0,Budget
BANK CHARGES,13.750083333333334,12,11,10,165.001,0,Budget
BANQUET BIRTHDAY  CARD,0.41821782178217815,1572,100,71,647.28,0,Budget
BASKET OF FLOWERS SEWING KIT,0.8813953488372093,775,42,40,600.61,0,Budget
BASKET OF TOADSTOOLS,1.2475641025641027,1322,77,51,1574.98,0,Budget
BATH BUILDING BLOCK WORD,6.034296875,792,242,168,4727.83,1,Trending
BATHROOM HOOK,1.1345454545454545,140,21,21,137.76,0,Budget
BATHROOM METAL SIGN,0.6805803571428573,5929,419,235,3584.85,1,Trending
BATHROOM SCALES FOOTPRINTS IN SAND,3.6700000000000004,51,20,17,172.05,0,Budget
BATHROOM SCALES RUBBER DUCKS,3.6657894736842107,41,19,11,139.35,0,Budget
"BATHROOM SCALES, TROPICAL BEACH",3.75,16,10,8,60.0,0,Budget
BATHROOM SET LOVE HEART DESIGN,2.913636363636364,68,11,9,191.0,0,Budget
BEACH HUT SHELF W 3 DRAWERS,5.7,70,20,16,376.5,0,Budget
BEADED CHANDELIER T-LIGHT HOLDER,4.557837837837838,599,34,31,1313.29,0,Budget
BEADED CRYSTAL HEART BLUE  LARGE,0.9428888888888889,479,43,37,425.71,0,Budget
BEADED CRYSTAL HEART BLUE ON STICK,1.0036363636363637,73,11,5,78.71,0,Budget
BEADED CRYSTAL HEART BLUE SMALL,1.5525,77,12,8,99.88,0,Budget
BEADED CRYSTAL HEART GREEN LARGE,0.9564,816,50,44,707.7,0,Budget
BEADED CRYSTAL HEART GREEN ON STICK,0.8946153846153846,142,13,2,120.38,0,Budget
BEADED CRYSTAL HEART GREEN SMALL,1.389375,101,16,10,124.11,0,Budget
BEADED CRYSTAL HEART PINK LARGE,1.1207692307692307,552,51,41,526.38,0,Budget
BEADED CRYSTAL HEART PINK ON STICK,1.005,115,12,5,113.09,0,Budget
BEADED CRYSTAL HEART PINK SMALL,1.492,166,34,16,241.38,0,Budget
BEADED PEARL HEART WHITE LARGE,1.65,77,10,10,127.04999999999998,0,Budget
BEADED PEARL HEART WHITE ON STICK,1.2092,469,25,19,462.17,0,Budget
BELLE JARDINIERE CUSHION COVER,3.747513513513513,696,175,141,2604.48,1,Trending
BEWARE OF THE CAT METAL SIGN,1.672343324250681,4027,359,178,6405.3099999999995,1,Trending
BICYCLE PUNCTURE REPAIR KIT,2.0623423423423426,1731,103,93,3338.8,0,Budget
BICYCLE SAFTEY WALL ART,5.782307692307692,458,39,38,2371.94,0,Budget
BIG DOUGHNUT FRIDGE MAGNETS,0.85,1266,85,58,1076.1,0,Budget
BINGO SET,3.8331560283687947,1553,280,210,5725.71,1,Trending
BIRD DECORATION GREEN POLKADOT,0.85,390,37,30,331.5,0,Budget
BIRD DECORATION RED RETROSPOT,0.85,760,57,45,646.0,0,Budget
BIRD HOUSE HOT WATER BOTTLE,2.577361963190184,618,154,116,1564.61,0,Budget
BIRDCAGE DECORATION TEALIGHT HOLDER,1.236619718309859,650,67,48,770.32,0,Budget
BIRDHOUSE DECORATION MAGIC GARDEN,1.2474666666666667,520,72,66,645.44,0,Budget
BIRDHOUSE GARDEN MARKER,1.255974025974026,1417,76,59,1936.85,0,Budget
BIRDS MOBILE VINTAGE DESIGN,6.1146376811594205,183,69,56,1100.21,0,Budget
BIRTHDAY BANQUET GIFT WRAP,0.4175,975,32,32,393.5,0,Budget
"BIRTHDAY CARD, RETRO SPOT",0.41857142857142854,1848,126,94,758.88,0,Budget
BIRTHDAY PARTY CORDON BARRIER TAPE,1.2795121951219512,436,81,60,548.63,0,Budget
BISCUIT TIN 50'S CHRISTMAS,2.969783393501805,2060,271,231,5795.2,1,Trending
BISCUIT TIN VINTAGE CHRISTMAS,2.9257446808510643,1635,232,201,4576.05,1,Trending
BISCUIT TIN VINTAGE GREEN,6.694173913043478,434,114,92,2691.88,0,Budget
BISCUIT TIN VINTAGE RED,6.640410958904109,572,146,120,3609.8,1,Trending
BISCUITS SMALL BOWL LIGHT BLUE,0.48224999999999996,1039,79,49,441.36,0,Budget
BLACK AND WHITE CAT BOWL,1.7930232558139536,1357,43,35,2661.8999999999996,0,Budget
BLACK AND WHITE DOG BOWL,2.3787755102040817,1194,48,41,2584.68,0,Budget
BLACK BAROQUE WALL CLOCK,11.235714285714286,44,14,10,333.6,0,Budget
BLACK BIRD GARDEN DESIGN MUG,0.44375000000000003,105,15,15,46.11,0,Budget
BLACK CANDELABRA T-LIGHT HOLDER,1.231578947368421,694,37,30,702.8000000000001,0,Budget
BLACK CHAMPAGNE GLASS,0.5045454545454545,1517,33,25,621.87,0,Budget
BLACK CHRISTMAS TREE 120CM,3.033478260869565,209,23,19,503.85,0,Budget
BLACK CHRISTMAS TREE 60CM,1.2772727272727273,554,22,20,433.70000000000005,0,Budget
BLACK DINER WALL CLOCK,8.5,53,33,24,450.5,0,Budget
BLACK EAR MUFF HEADPHONES,5.724736842105264,37,17,13,198.35000000000002,0,Budget
BLACK ENAMEL FLOWER RING,2.95,64,10,9,188.8,0,Budget
BLACK ENCHANTED FOREST PLACEMAT,1.630952380952381,585,42,20,893.25,0,Budget
BLACK HEART CARD HOLDER,3.798802395209581,4844,166,123,12261.9,1,Trending
BLACK KITCHEN SCALES,8.507150537634407,504,183,134,4159.53,1,Trending
BLACK LOVE BIRD CANDLE,1.1504,201,25,17,191.49,0,Budget
BLACK LOVE BIRD T-LIGHT HOLDER,3.266153846153846,145,13,10,247.46,0,Budget
BLACK MINI TAPE MEASURE,0.8456666666666667,158,30,11,121.3,0,Budget
BLACK ORANGE SQUEEZER,0.42000000000000004,138,21,13,57.96,0,Budget
BLACK PIRATE TREASURE CHEST,1.4128235294117646,437,81,56,509.36999999999995,0,Budget
BLACK SILOUETTE CANDLE PLATE,0.85,137,20,18,116.44999999999999,0,Budget
BLACK SMALL GLASS CAKE STAND,1.17,61,12,12,54.99,0,Budget
BLACK SQUARE TABLE CLOCK,2.5658333333333334,95,12,10,225.48999999999998,0,Budget
BLACK STITCHED WALL CLOCK,1.3226666666666667,697,29,20,686.23,0,Budget
BLACK SWEETHEART BRACELET,4.25,67,24,18,284.75,0,Budget
BLACK TEA TOWEL CLASSIC DESIGN,1.0448275862068965,694,84,68,608.52,0,Budget
"BLACK TEA,COFFEE,SUGAR JARS",1.9744444444444442,451,45,38,779.4499999999999,0,Budget
BLACK WINE GLASS,0.63,1672,19,12,699.96,0,Budget
BLACK/BLUE POLKADOT UMBRELLA,6.096186770428016,1133,256,183,6367.9400000000005,1,Trending
BLOND DOLL DOORSTOP,1.5735294117647058,115,14,11,149.25,0,Budget
BLOSSOM  IMAGES NOTEBOOK SET,1.37,498,25,21,640.5,0,Budget
BLOSSOM IMAGES GIFT WRAP SET,0.7579787234042553,751,93,84,663.6,0,Budget
BLUE  DIAMANTE PEN IN GIFT BOX,4.918181818181818,61,21,12,276.75,0,Budget
BLUE  TILE HOOK,2.5218749999999996,85,15,15,213.14999999999998,0,Budget
BLUE & WHITE BREAKFAST TRAY,3.2000000000000006,73,21,18,221.35000000000002,0,Budget
BLUE 3 PIECE POLKADOT CUTLERY SET,3.8011340206185564,1170,97,80,4213.34,0,Budget
BLUE BIRDHOUSE DECORATION,0.7626315789473684,376,38,34,223.3,0,Budget
BLUE CALCULATOR RULER,1.3207936507936506,462,58,40,546.76,0,Budget
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,0.723804347826087,976,90,77,512.8000000000001,0,Budget
BLUE CHENILLE SHAGGY CUSHION COVER,1.0333333333333334,43,12,8,43.15,0,Budget
BLUE CIRCLES DESIGN MONKEY DOLL,2.55,63,25,11,160.64999999999998,0,Budget
BLUE CIRCLES DESIGN TEDDY,2.55,52,20,14,132.6,0,Budget
BLUE COAT RACK PARIS FASHION,4.933235294117647,428,134,106,1979.64,0,Budget
BLUE DAISY MOBILE,0.7999999999999999,172,12,9,138.76,0,Budget
BLUE DINER WALL CLOCK,8.483816568047338,907,338,179,7528.93,1,Trending
BLUE DISCO HANDBAG,2.148181818181818,31,10,10,62.629999999999995,0,Budget
BLUE DRAGONFLY HELICOPTER,7.95,47,34,28,373.65000000000003,0,Budget
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1.24544,1574,122,77,1924.18,0,Budget
BLUE EGG  SPOON,0.13183098591549294,1718,71,58,258.71999999999997,0,Budget
BLUE FELT EASTER EGG BASKET,1.65,350,64,60,577.4999999999999,0,Budget
BLUE FLOCK GLASS CANDLEHOLDER,0.634,644,10,9,259.96,0,Budget
BLUE FLY SWAT,0.86,135,42,31,114.21000000000001,0,Budget
BLUE GEISHA GIRL,3.75,20,10,9,75.0,0,Budget
